Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
security vulnerability assessment tools,20,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
threat detection management,20,Threat Management,Threat Detection Solutions,Top Threat Detection Software,Pillar page,Commercial,Commercial,text
top easm solutions,0,Cybersecurity Services,EASM Cybersecurity Solutions,Top EASM Solutions Overview,Pillar page,Commercial,Commercial,text
vulnerability assessment platform,40,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
vulnerability management examples,30,Threat Management,Vulnerability Management,Examples of Vulnerabilities,Supporting,Informational,Informational,text
vulnerability management in software,10,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Informational,text
vulnerability.management,0,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Informational,text
what attribute based access control,0,Security Management,Attribute-Based Access Control,Understanding Attribute Based Access Control,Pillar page,Informational,Informational,text
what is cloud runtime security,0,Cybersecurity Practices,Cloud Security Solutions,Cloud Native Runtime Security Overview,Supporting,Informational,Informational,text
what is kerberosting,0,Ungrouped (review),Ungrouped (review),Ungrouped (review),Ungrouped,Mixed,Informational,text
what is lpa,1300,Security Management,LPA Overview,Understanding LPA Meaning,Pillar page,Informational,Informational,text
what is mdr cybersecurity,10,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Informational,text
what is risk remediation,20,Risk Management,Risk Remediation Strategies,Understanding Risk Remediation,Pillar page,Informational,Informational,text
xdr company,10,Cybersecurity Services,XDR Cybersecurity Solutions,Top XDR Vendors Reviewed,Supporting,Commercial,Commercial,text
xdr provider,20,Cybersecurity Services,XDR Cybersecurity Solutions,Top XDR Vendors Reviewed,Supporting,Commercial,Commercial,text
xdr security services,30,Cybersecurity Services,XDR Cybersecurity Solutions,XDR in Cybersecurity Overview,Supporting,Commercial,Commercial,text
xdr security solution,10,Cybersecurity Services,XDR Cybersecurity Solutions,XDR in Cybersecurity Overview,Supporting,Commercial,Commercial,text
xdr vendor,20,Cybersecurity Services,XDR Cybersecurity Solutions,Top XDR Vendors Reviewed,Supporting,Commercial,Commercial,text
soc report meaning,880,Security Management,SOC Reporting Insights,Comprehensive Guide to SOC Reports,Pillar page,Informational,Informational,text
nac solution,880,Security Management,NAC Solutions,Exploring NAC Solutions,Supporting,Mixed,Commercial,text
it asset mgmt,720,Risk Management,IT Asset Management,Understanding IT Asset Management,Pillar page,Mixed,Commercial,text
soc reporting,590,Security Management,SOC Reporting Insights,Comprehensive Guide to SOC Reports,Pillar page,Informational,Commercial,text
patch management policy,590,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Informational,text
nac networking,590,Security Management,NAC Solutions,NAC Network Access Solutions,Pillar page,Commercial,Commercial,text
network access control nac,480,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Commercial,text
what is nist cybersecurity framework,480,Compliance and Governance,NIST Cybersecurity Framework,Overview of NIST Cybersecurity Framework,Supporting,Informational,Informational,text
idps meaning,480,Cybersecurity Services,IDPS Overview,Understanding IDPS Systems,Pillar page,Mixed,Informational,text
nac solutions,390,Security Management,NAC Solutions,Exploring NAC Solutions,Supporting,Mixed,Transactional,text
nac cyber security,390,Security Management,NAC Solutions,NAC Cybersecurity Overview,Supporting,Commercial,Commercial,text
third party cyber risk management,390,Risk Management,Third Party Risk Management,Third Party Cyber Risk Solutions,Supporting,Commercial,Commercial,text
soc controls,390,Security Management,SOC Reporting Insights,Overview of SOC Controls,Supporting,Informational,Informational,text
what is network access control,390,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Informational,text
nys department of financial services cybersecurity regulation,320,Compliance and Governance,New York Cyber Regulations,Cybersecurity Regulations Guide,Supporting,Informational,Informational,text
wormgpt what is wormgpt,320,Cybersecurity Practices,WormGPT Overview,What Is WormGPT?,Pillar page,Informational,Informational,text
cybersecurity compliance standards,320,Compliance and Governance,Cybersecurity Compliance Solutions,Overview of Cybersecurity Compliance Standards,Supporting,Informational,Informational,text
what is a dictionary attack,260,Threat Management,Dictionary Attacks,Understanding Dictionary Attacks,Supporting,Informational,Informational,text
network access controls,260,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Commercial,text
dictionary attacks,260,Threat Management,Dictionary Attacks,Overview of Dictionary Attacks,Pillar page,Informational,Informational,text
it and risk management,260,Risk Management,Cybersecurity Risk Management,IT Risk Management Best Practices,Supporting,Informational,Commercial,text
malware and ransomware,210,Threat Management,Ransomware Awareness,Malware Versus Ransomware Explained,Supporting,Informational,Informational,text
nac network access,210,Security Management,NAC Solutions,NAC Network Access Solutions,Pillar page,Commercial,Transactional,text
nac security,210,Security Management,NAC Solutions,NAC Cybersecurity Overview,Supporting,Commercial,Commercial,text
what is wormgpt,210,Cybersecurity Practices,WormGPT Overview,What Is WormGPT?,Pillar page,Informational,Informational,text
regulatory framework,210,Compliance and Governance,Regulatory Framework Overview,Understanding Regulatory Frameworks,Pillar page,Informational,Informational,text
advanced threat protection solutions,140,Threat Management,Advanced Threat Protection,Advanced Threat Protection Solutions,Pillar page,Commercial,Commercial,text
network security analysis,140,Cybersecurity Services,Network Security Solutions,Guide to Network Security Analysis,Supporting,Informational,Informational,text
nac cybersecurity,140,Security Management,NAC Solutions,NAC Cybersecurity Overview,Supporting,Commercial,Commercial,text
nac network access control,140,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Commercial,text
third party risk management best practices,140,Risk Management,Third Party Risk Management,Understanding Third Party Risk Management,Pillar page,Informational,Informational,text
what is human in the loop,110,Cybersecurity Practices,Human-in-the-Loop Overview,Understanding Human In The Loop,Pillar page,Informational,Informational,text
bas cybersecurity,110,Cybersecurity Practices,Cybersecurity Innovations,Business Application Security Solutions,Supporting,Commercial,Commercial,text
ot software,110,Cybersecurity Practices,Operational Technology Overview,Best OT Software Solutions,Supporting,Commercial,Commercial,text
gdpr data masking,110,Cybersecurity Practices,Data Masking Overview,Data Masking Under GDPR Compliance,Supporting,Informational,Informational,text
spoofing detection,110,Threat Management,Spoofing Explained,Techniques for Spoofing Detection,Supporting,Informational,Informational,text
what is an idps,90,Cybersecurity Services,IDPS Overview,What Is IDPS?,Supporting,Informational,Informational,text
iam as a service,90,Cybersecurity Services,ASM Security Solutions,Understanding ASM Security Concepts,Supporting,Informational,Commercial,text
lotl meaning,90,Threat Management,LOTL Insights,What Does LOTL Mean?,Pillar page,Informational,Informational,text
deep learning security,70,Cybersecurity Practices,Machine Learning in Cybersecurity,Deep Learning for Security,Supporting,Informational,Informational,text
security & risk management,70,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Commercial,text
automated breach and attack simulation,70,Threat Management,Breach Attack Simulation,Top Breach And Attack Simulation Tools,Pillar page,Commercial,Commercial,text
network access control definition,70,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Informational,text
what is rbac in cyber security,70,Security Management,RBAC in Cyber Security,RBAC in Cyber Security Explained,Pillar page,Informational,Informational,text
deep learning in security,70,Cybersecurity Practices,Machine Learning in Cybersecurity,Deep Learning for Security,Supporting,Informational,Informational,text
what is whale phishing,70,Threat Management,Whaling Cybersecurity,What Is Whale Phishing?,Supporting,Informational,Informational,text
identity and access management as a service,70,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
dark web guide,70,Threat Management,Dark Web Insights,Comprehensive Dark Web Guide,Pillar page,Informational,Informational,text
24/7 cybersecurity monitoring,50,Cybersecurity Practices,24/7 Cybersecurity Services,24/7 Cybersecurity Monitoring Services,Pillar page,Transactional,Transactional,text
what is eap in cyber security,50,Cybersecurity Practices,EAP Cybersecurity Overview,Understanding EAP Cybersecurity,Pillar page,Informational,Informational,text
data masking benefits,50,Cybersecurity Practices,Data Masking Overview,Benefits and Examples of Data Masking,Pillar page,Informational,Informational,text
continuous red teaming,50,Threat Management,Red Teaming Concepts,Introduction to Red Teaming,Pillar page,Informational,Informational,text
runtime in cloud computing,50,Cybersecurity Practices,Cloud Security Solutions,Cloud Native Runtime Security Overview,Supporting,Informational,Informational,text
